3 50
assessment	ass_id	grade	date
1	13001	71	4/2/2019
2	13002	69	20/02/2019
3	13003	60	13/03/2019
4	13004	74	30/05/2019
5	13005	98	28/08/2019
6	13006	92	1/2/2020
7	13007	47	30/06/2020
8	13008	90	23/08/2020
9	13009	79	22/09/2020
10	13010	41	6/10/2020
11	13011	60	15/06/2021
12	13012	49	6/7/2021
13	13013	58	9/7/2021
14	13014	54	21/07/2021
15	13015	89	4/8/2021
16	13016	42	29/08/2021
17	13017	95	10/10/2021
18	13018	92	23/01/2022
19	13019	88	11/4/2022
20	13020	78	6/5/2022
21	13021	98	19/05/2022
22	13022	77	6/6/2022
23	13023	71	18/08/2022
24	13024	87	27/08/2022
25	13025	53	1/10/2022
26	13026	65	5/8/2018
27	13027	75	20/09/2018
28	13028	69	16/11/2018
29	13029	59	16/12/2018
30	13030	51	30/12/2018
31	13031	51	10/3/2019
32	13032	50	19/05/2019
33	13033	69	4/8/2019
34	13034	92	12/1/2020
35	13035	91	11/3/2020
36	13036	41	2/8/2020
37	13037	48	18/06/2021
38	13038	73	11/7/2021
39	13039	94	13/01/2022
40	13040	79	19/02/2022
41	13041	52	18/03/2022
42	13042	96	19/04/2022
43	13043	78	22/04/2022
44	13044	93	18/06/2022
45	13045	87	23/06/2022
46	13046	94	5/7/2022
47	13047	71	11/7/2022
48	13048	73	12/8/2022
49	13049	40	26/08/2022
50	13050	91	26/09/2022
