4 24
deliverable	proj_id	title	description	date
1	45001	del1.1	del1	4/2/2020
2	45001	del1.2	del1	4/2/2021
3	45001	del1	del1	4/2/2021
4	45004	del4	del4	30/05/2022
5	45005	del5.1	del5	28/8/2020
6	45005	del5.2	del5	28/8/2021
7	45027	del27.1	del27	20/12/2018
8	45027	del27.2	del27	20/03/2019
9	45027	del27.3	del27	20/09/2019
10	45028	del28.1	del28	16/2/2019
11	45028	del28.2	del28	16/5/2019
12	45028	del28.3	del28	16/11/2020
13	45029	del29.1	del29	16/5/2019
14	45029	del29.2	del29	16/12/2019
15	45029	del29.3	del29	16/12/2020
16	45029	del29.4	del29	16/12/2021
17	45030	del30.1	del30	30/6/2019
18	45030	del30.2	del30	30/6/2020
19	45031	del31.1	del31	10/5/2019
20	45031	del31.2	del31	10/7/2019
21	45031	del31.3	del31	10/3/2020
22	45032	del32	del32	19/05/2021
23	45035	del35.1 	del35 	11/5/2020
24	45035	del35.2 	del35 	11/3/2021
