2 71
proj_field proj_id	field_id	
1	45001	99001
2	45001	99004
3	45001	99006
4	45002	99003
5	45003	99008
6	45003	99006
7	45004	99001
8	45004	99008
9	45004	99003
10	45005	99004
11	45005	99010
12	45005	99001
13	45005	99011
14	45006	99010
15	45006	99008
16	45007	99012
17	45007	99003
18	45007	99011
19	45008	99012
20	45008	99007
21	45009	99012
22	45009	99011
23	45009	99001
24	45010	99004
25	45010	99003
26	45011	99005
27	45012	99011
28	45013	99007
29	45014	99005
30	45014	99008
31	45015	99002
32	45015	99012
33	45016	99003
34	45016	99010
35	45017	99009
36	45018	99002
37	45019	99005
38	45020	99009
39	45021	99003
40	45022	99010
41	45023	99007
42	45024	99012
43	45025	99001
44	45026	99004
45	45027	99012
46	45028	99004
47	45029	99004
48	45030	99004
49	45031	99008
50	45032	99010
51	45033	99011
52	45034	99002
53	45035	99005
54	45035	99009
55	45036	99009
56	45036	99005
57	45036	99002
58	45037	99005
59	45038	99010
60	45039	99009
61	45040	99007
62	45041	99005
63	45042	99011
64	45043	99006
65	45044	99010
66	45045	99002
67	45046	99002
68	45047	99002
69	45048	99009
70	45049	99002
71	45050	99007
