2 121
works	res_id	proj_id
1	310001	45001
2	310031	45001
3	310061	45001
4	310002	45002
5	310092	45002
6	310003	45003
7	310093	45003
8	310063	45003
9	310033	45003
10	310004	45004
11	310034	45004
12	310005	45005
13	310035	45005
14	310095	45005
15	310006	45006
16	310096	45006
17	310007	45007
18	310037	45007
19	310067	45007
20	310008	45008
21	310038	45008
22	310068	45008
23	310098	45008
24	310009	45009
25	310039	45009
26	310010	45010
27	310040	45010
28	310070	45010
29	310011	45011
30	310071	45011
31	310012	45012
32	310072	45012
33	310042	45012
34	310013	45013
35	310043	45013
36	310014	45014
37	310044	45014
38	310074	45014
39	310015	45015
40	310045	45015
41	310016	45016
42	310046	45016
43	310076	45016
44	310017	45017
45	310047	45017
46	310018	45018
47	310048	45018
48	310019	45019
49	310049	45019
50	310079	45019
51	310020	45020
52	310080	45020
53	310021	45021
54	310081	45021
55	310051	45021
56	310022	45022
57	310052	45022
58	310023	45023
59	310083	45023
60	310024	45024
61	310084	45024
62	310025	45025
63	310055	45025
64	310085	45025
65	310026	45026
66	310086	45026
67	310027	45027
68	310057	45027
69	310028	45028
70	310058	45028
71	310088	45028
72	310029	45029
73	310089	45029
74	310030	45030
75	310060	45030
76	310031	45031
77	310091	45031
78	310001	45031
79	310032	45032
80	310092	45032
81	310033	45033
82	310093	45033
83	310034	45034
84	310094	45034
85	310034	45035
86	310035	45035
87	310065	45035
88	310036	45036
89	310066	45036
90	310037	45037
91	310007	45037
92	310097	45037
93	310038	45038
94	310098	45038
95	310039	45039
96	310099	45039
97	310040	45040
98	310100	45040
99	310041	45041
100	310071	45041
101	310042	45042
102	310012	45042
103	310072	45042
104	310043	45043
105	310073	45043
106	310044	45044
107	310074	45044
108	310045	45045
109	310075	45045
110	310015	45045
111	310046	45046
112	310016	45046
113	310047	45047
114	310017	45047
115	310048	45048
116	310018	45048
117	310049	45049
118	310019	45049
119	310079	45049
120	310050	45050
121	310080	45050
